chName,style,歌入／無,テンポ,説明文,備考
週間 USEN HIT J-POPランキング,リピート放送,入,オール,全国の街で流れ音楽シーンを賑わすUSENのランキング番組。USEN音楽放送におけるオンエア実績や、リスナーからのリクエストデータなどを基に独自に集計した「週間 USEN HIT J-POPランキング」から上位25曲と、USENの注目曲にて構成。リリース前の最新曲、ヒット中の話題曲など、現在多くの支持を受けている楽曲を、毎週お送りしています。,3時間番組を毎週土曜日に更新
週間 USEN HIT 洋楽ランキング,リピート放送,入,オール,全国の街で流れ音楽シーンを賑わすUSENのランキング番組。USEN音楽放送におけるオンエア実績や、リスナーからのリクエストデータなどを基に独自に集計した「週間 USEN HIT 洋楽ランキング」から上位20曲と、USENの注目曲を毎週お送りしています。リリース直前直後の最新曲やヒット中の話題曲など、現在多くの支持を集めている楽曲をお楽しみください。,2時間番組を毎週土曜日に更新
週間 Spotify チャート,リピート放送,入,オール,音楽ストリーミングサービス『Spotify』の『トップ50：日本』を基にした週間ランキング番組です。ランキング上位25曲と注目曲で構成し、今Spotifyで最も聴かれている楽曲をお届けします。,3時間番組を毎週土曜日に更新
週間 USEN HIT 演歌／歌謡曲ランキング,リピート放送,入,オール,全国の街で流れ音楽シーンを賑わすUSENのランキング番組。USEN音楽放送におけるオンエア実績や、リスナーからのリクエストデータなどを基に独自に集計した「週間 USEN HIT 演歌／歌謡曲ランキング」から上位20曲と、USENの注目曲を毎週お送りしています。今の演歌・歌謡曲を知る上で欠かせない、ファン必聴のチャンネル。カラオケ・ファンが集うお店のBGMにもおすすめです。,2時間番組を毎週土曜日に更新
週間 USEN HIT SNSランキング,リピート放送,入,オール,音楽配信サービス各社データ、及びUSENの放送する番組「SNS NOW」「邦楽HIT SELECT」のオンエア実績などを基に独自に集計したランキング番組です。上位25位と注目曲で構成し、ストリーミングサービスで人気の楽曲はもちろん、SNS上で話題を集めている楽曲など、流行に敏感な10～20代の若者から支持を集める楽曲を新旧問わずお届けいたします。,3時間番組を毎週土曜日に更新
週間 USEN HIT アニメ・ランキング,リピート放送,入,オール,全国の街で流れ音楽シーンを賑わすUSENのランキング番組。USEN音楽放送におけるオンエア実績や、リスナーからのリクエストデータなどを基に独自に集計した「週間 USEN HIT アニメ・ランキング」から上位25曲と、USENの注目曲を毎週お送りしています。リリース直前直後の最新曲、ヒット中の話題曲など、現在多くの支持を受けているアニメ／声優の楽曲をお楽しみください。,3時間番組を毎週土曜日に更新
週間 USEN HIT K-POPランキング,リピート放送,入,オール,全国の街で流れ音楽シーンを賑わすUSENのランキング番組。USEN音楽放送におけるオンエア実績や、リスナーからのリクエストデータなどを基に独自に集計した「週間 USEN HIT K-POPランキング」から上位25曲と、USENの注目曲を毎週お送りしています。「日本語」「韓国語」「英語」を問わず、リリース直前直後の最新曲やヒット中の話題曲など、現在多くの支持を集めている楽曲をお楽しみください。,3時間番組を毎週土曜日に更新
週間 LINE MUSIC ランキング,リピート放送,入,オール,LINEの定額制音楽聴き放題サービス『LINE MUSIC』で聴かれた楽曲ランキングを毎週お届けするランキング番組です。上位25曲とその他上位にランクインした注目曲で構成。LINE MUSICで支持されている楽曲の数々をお届けします。,3時間番組を毎週土曜日に更新
週間 Apple Music ランキング,リピート放送,入,オール,Appleが提供する音楽ストリーミングサービス『Apple Music』の 『トップ100：日本』を基にした週間ランキング番組です。ランキング上位25曲と注目曲で構成し、今Apple Musicで最も聴かれている楽曲をお届けします。,3時間番組を毎週土曜日に更新
週間 ランキング by YouTube Music,リピート放送,入,オール,YouTube楽曲ランキングを基にした週間ランキング番組です。最新ランキング上位25曲をはじめ、急上昇曲など注目曲をオンエア。若い世代からの支持も高く、今の流行がリアルに反映されるYouTube最新のランキングをBGMとしてお楽しみいただけます。,3時間番組を毎週土曜日に更新
週間 オリコンランキング,リピート放送,入,オール,業界No.1の信頼度を誇る音楽ランキング『オリコン』発表の週間ランキング1～25位曲と注目曲、上位曲などで構成しています。J-POPはもちろん、K-POPやアニソンなど、巷で話題の楽曲をお届けします。,3時間番組を毎週土曜日に更新
週間 Spotify バイラルチャート,リピート放送,入,オール,音楽ストリーミングサービス『Spotify』の『バイラルトップ50：日本』を基にした週間ランキング番組です。ランキング上位25曲と注目曲で構成し、SNSで今一番話題の楽曲をお届けします。,3時間番組を毎週土曜日に更新
バイラル HIT NOW,シャッフル放送,入,オール,最新曲やヒット曲、SNSシーンをはじめ巷を賑わせている楽曲から毎週セレクトし、シャッフル放送でお届けします。,2時間番組を毎週土曜日に更新
週間 レコチョクランキング,リピート放送,入,オール,レコチョクランキング（シングルランキング 週間）の最新ランキングを元に、今最もダウンロードされている楽曲をお送りします。また、このチャンネルならではの配信限定音源なども放送しており、今の流行がすぐさま反映されるレコチョクの最新のランキングをお楽しみいただけます。,
週間 レコチョク 洋楽ランキング,リピート放送,入,オール,レコチョクランキング（洋楽総合ランキング 週間）の最新ランキングを元に、今最もダウンロードされている楽曲をお送りします。また、このチャンネルならではの配信限定音源なども放送しており、今の流行がすぐさま反映されるレコチョクの最新のランキングをお楽しみいただけます。,
